Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3278548,2017-12-31 00:00:16,2016-03-31 13:40:08,249217,62553467,0,251,43,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278548/SRR3278548.1,SRX1653001,212LK24,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262099,SAMN04211984,simple,496922,coral metagenome,212LK24,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,6E3303975D6736A26D0BC286A2F3D11D,2713CE1AD9886EA832CB1AF6C740CB98
SRR3278546,2017-12-31 00:00:16,2016-03-31 13:40:21,231697,58155947,0,251,40,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278546/SRR3278546.1,SRX1652999,212LK30,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262100,SAMN04211986,simple,496922,coral metagenome,212LK30,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,A361D4AD7019C3389827A1EA69FA3981,E26DFA6A5981DB14E7750752EFEA51FC
SRR3278544,2017-12-31 00:00:16,2016-03-31 13:35:11,245022,61500522,0,251,43,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3278544/SRR3278544.1,SRX1652997,212LK30H2O,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262103,SAMN04211987,simple,496922,coral metagenome,212LK30H2O,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,4D37637654618705BA72F5AD5A276884,2D5B6BC65F5DA02E4837C2664043D166
SRR3278543,2017-12-31 00:00:16,2016-03-31 13:39:42,226438,56835938,0,251,39,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278543/SRR3278543.1,SRX1652996,212LK57,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262106,SAMN04211988,simple,496922,coral metagenome,212LK57,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,D5EA6097DEA71A17EC67398607728B63,1A602FD5C1730EBA8492D7F07ACFE13D
SRR3278542,2017-12-31 00:00:16,2016-03-31 13:39:40,150531,37783281,0,251,26,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3278542/SRR3278542.1,SRX1652995,212LK62,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262105,SAMN04211989,simple,496922,coral metagenome,212LK62,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,C35223231BC8E6008B7DC480D26D1569,5DAE8408E16F0C4DFF17002ECDA55ED0
SRR3278541,2017-12-31 00:00:16,2016-03-31 13:39:42,128535,32262285,0,251,22,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278541/SRR3278541.1,SRX1652994,212LK64,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262108,SAMN04211990,simple,496922,coral metagenome,212LK64,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,FF536FE3BD06316DEA6974B087CDAC8F,A6440F9772E883DA9C4E15D00DADE657
SRR3278540,2017-12-31 00:00:16,2016-03-31 13:35:32,229775,57673525,0,251,40,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278540/SRR3278540.1,SRX1652993,212LK68,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262107,SAMN04211991,simple,496922,coral metagenome,212LK68,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,AF398C40269F855F865D0C6EBBE5619D,C77751A0055ACDD1DBAD048CDCC61926
SRR3278539,2017-12-31 00:00:16,2016-03-31 13:39:39,203500,51078500,0,251,35,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278539/SRR3278539.1,SRX1652992,212LK71,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262109,SAMN04211992,simple,496922,coral metagenome,212LK71,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,A09847556780050B6A56C24F722EBA4F,F680B3E0BA23B355CEFA9EDF2FC42498
SRR3278547,2017-12-31 00:00:16,2016-03-31 13:42:23,188813,47392063,0,251,33,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278547/SRR3278547.1,SRX1653000,212Lk24H2O,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262102,SAMN04211985,simple,496922,coral metagenome,212Lk24H2O,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,05825585AEC3DD523094E47884813CD9,3B72AED0B782AD5179EF93049CB7884B
SRR3278538,2017-12-31 00:00:16,2016-03-31 13:39:40,199053,49962303,0,251,34,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3278538/SRR3278538.1,SRX1652991,213LK24,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP065085,PRJNA299413,,299413,SRS1262111,SAMN04211993,simple,496922,coral metagenome,213LK24,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA391642,,public,E849352EBE63CD5F8295E7AFE596ABA0,D47A576025384244BE5D5C8C7EEB4D23
